,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,587.6252124517264,584.1633498782169,0.12386535714285621,2020-11-19,Israel,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,548.8614513010608,584.1633498782169,0.12386535714285621,2020-11-20,Israel,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,547.9304180795039,584.1633498782169,0.12386535714285621,2020-11-21,Israel,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,563.3222586557675,584.1633498782169,0.12386535714285621,2020-11-22,Israel,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,586.2079697067657,584.1633498782169,0.12386535714285621,2020-11-23,Israel,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,612.9859187374542,584.1633498782169,0.12386535714285621,2020-11-24,Israel,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,642.2102202152402,584.1633498782169,0.12386535714285621,2020-11-25,Israel,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,673.3251679732499,596.4062006670059,0.12386535714285621,2020-11-26,Israel,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,706.1437343812212,618.875098249886,0.12386535714285621,2020-11-27,Israel,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,740.6327291097346,646.4039998256333,0.12386535714285621,2020-11-28,Israel,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,776.8243558171243,676.9042994201128,0.12386535714285621,2020-11-29,Israel,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,814.7798480444658,709.5574248969272,0.12386535714285621,2020-11-30,Israel,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,854.574551333254,744.0700866963272,0.12386535714285621,2020-12-01,Israel,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,896.2918704115452,780.3674652957992,0.12386535714285621,2020-12-02,Israel,,Plan 1
14,3,0,2,4,2,1,0,4,2,3,2,4,936.0896955819004,817.9052549541778,0.14124630952380854,2020-12-03,Israel,,Plan 1
15,3,0,2,4,2,1,0,4,2,3,2,4,975.537116838246,856.39002387661,0.14124630952380854,2020-12-04,Israel,,Plan 1
16,3,0,2,4,2,1,0,4,2,3,2,4,1015.3581934460177,895.6365187817935,0.14124630952380854,2020-12-05,Israel,,Plan 1
17,3,0,2,4,2,1,0,4,2,3,2,4,1055.9232935053597,935.5077955943985,0.14124630952380854,2020-12-06,Israel,,Plan 1
18,3,0,2,4,2,1,0,4,2,3,2,4,1097.4507577286802,975.8893541207146,0.14124630952380854,2020-12-07,Israel,,Plan 1
19,3,0,2,4,2,1,0,4,2,3,2,4,1140.0907563767576,1016.6773834126437,0.14124630952380854,2020-12-08,Israel,,Plan 1
20,3,0,2,4,2,1,0,4,2,3,2,4,1183.9608609039042,1057.772953482981,0.14124630952380854,2020-12-09,Israel,,Plan 1
21,3,0,2,4,2,0,0,4,2,3,2,4,1234.2820665884956,1100.3718636267802,0.12386535714285621,2020-12-10,Israel,,Plan 1
22,3,0,2,4,2,0,0,4,2,3,2,4,1289.1913628512355,1145.1796130572072,0.12386535714285621,2020-12-11,Israel,,Plan 1
23,3,0,2,4,2,0,0,4,2,3,2,4,1347.940867438546,1192.6914236275682,0.12386535714285621,2020-12-12,Israel,,Plan 1
24,3,0,2,4,2,0,0,4,2,3,2,4,1410.2587181462955,1243.3107700048452,0.12386535714285621,2020-12-13,Israel,,Plan 1
25,3,0,2,4,2,0,0,4,2,3,2,4,1476.0803068611874,1297.4007055952031,0.12386535714285621,2020-12-14,Israel,,Plan 1
26,3,0,2,4,2,0,0,4,2,3,2,4,1545.4353526497116,1355.3070764913393,0.12386535714285621,2020-12-15,Israel,,Plan 1
27,3,0,2,4,2,0,0,4,2,3,2,4,1618.4002964372446,1417.3698529961023,0.12386535714285621,2020-12-16,Israel,,Plan 1
28,3,0,2,2,2,0,0,4,2,3,2,4,1704.5125341583307,1484.5456340775074,0.1166957142857134,2020-12-17,Israel,,Plan 1
29,3,0,2,2,2,0,0,4,2,3,2,4,1802.0064800709308,1557.8049365374638,0.1166957142857134,2020-12-18,Israel,,Plan 1
30,3,0,2,2,2,0,0,4,2,3,2,4,1909.1603809211779,1637.9791527492682,0.1166957142857134,2020-12-19,Israel,,Plan 1
31,3,0,2,2,2,0,0,4,2,3,2,4,2025.4473681372563,1725.8632456051198,0.1166957142857134,2020-12-20,Israel,,Plan 1
