C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,0,0,0,4,2,3,2,0,2739.27837867196,2641.84643359797,1.2036587771203149,2021-06-19,Uruguay,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,2796.548753778527,2674.204711864281,1.2036587771203149,2021-06-20,Uruguay,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,2862.9047703860906,2713.777298548274,1.2036587771203149,2021-06-21,Uruguay,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,2936.620528611537,2760.8048796046187,1.2036587771203149,2021-06-22,Uruguay,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3016.6366399096282,2815.5702360923024,1.2036587771203149,2021-06-23,Uruguay,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3102.2061402803747,2878.3817222705934,1.2036587771203149,2021-06-24,Uruguay,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3192.7574325202086,2949.564663451189,1.2036587771203149,2021-06-25,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3280.972529084953,3026.949542081616,1.2899506903353049,2021-06-26,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3365.8931364526147,3108.284453892201,1.2899506903353049,2021-06-27,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3449.0422411257728,3192.0183782835848,1.2899506903353049,2021-06-28,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3531.067234857592,3276.9393363187346,1.2899506903353049,2021-06-29,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3612.2958903227886,3362.0335149491866,1.2899506903353049,2021-06-30,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3692.9222335698732,3446.4215282762566,1.2899506903353049,2021-07-01,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3773.071564656594,3529.323547152885,1.2899506903353049,2021-07-02,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,3846.781672624238,3610.1534248013536,1.4022534516765282,2021-07-03,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,3913.7383360353747,3688.417024741747,1.4022534516765282,2021-07-04,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,3975.732050407915,3763.658426067768,1.4022534516765282,2021-07-05,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4033.707241577429,3835.46414131346,1.4022534516765282,2021-07-06,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4088.2623850626396,3903.459354847724,1.4022534516765282,2021-07-07,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4139.824506168807,3967.302536647571,1.4022534516765282,2021-07-08,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4188.716132204848,4026.680332011607,1.4022534516765282,2021-07-09,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4241.958101878792,4083.134107619401,1.2899506903353049,2021-07-10,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4299.905578285342,4138.300856512253,1.2899506903353049,2021-07-11,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4360.634195464958,4193.2868772346865,1.2899506903353049,2021-07-12,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4423.16866844448,4248.924223929981,1.2899506903353049,2021-07-13,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4486.898283812359,4305.872209465656,1.2899506903353049,2021-07-14,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4551.374243290788,4364.665029054509,1.2899506903353049,2021-07-15,Uruguay,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4616.234806066573,4425.739125320471,1.2899506903353049,2021-07-16,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4673.852636697607,4487.4383445803005,1.4022534516765282,2021-07-17,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4723.676240708412,4547.9770106407395,1.4022534516765282,2021-07-18,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4767.745211049355,4606.135727152797,1.4022534516765282,2021-07-19,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4807.0742771699515,4660.979385542149,1.4022534516765282,2021-07-20,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4842.274625671848,4711.747434379219,1.4022534516765282,2021-07-21,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4873.769822225727,4757.803945655638,1.4022534516765282,2021-07-22,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4901.876970390676,4798.609969130512,1.4022534516765282,2021-07-23,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4926.841948303922,4834.751299359984,1.4022534516765282,2021-07-24,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4948.858091549292,4866.920135194397,1.4022534516765282,2021-07-25,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4968.078206415683,4895.539134532443,1.4022534516765282,2021-07-26,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4984.623346582343,4920.903287305641,1.4022534516765282,2021-07-27,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4998.589631995906,4943.2340024947935,1.4022534516765282,2021-07-28,Uruguay,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,2621.272731813496,1747.2240540506516,4.326982248520709,2021-05-29,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2185.445469063713,1747.2240540506516,4.326982248520709,2021-05-30,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1886.010714326766,1747.2240540506516,4.326982248520709,2021-05-31,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1652.4314105631042,1747.2240540506516,4.326982248520709,2021-06-01,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1457.0695588295291,1747.2240540506516,4.326982248520709,2021-06-02,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1288.206000815368,1747.2240540506516,4.326982248520709,2021-06-03,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1140.1324929425862,1747.2240540506516,4.326982248520709,2021-06-04,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1009.5019389655699,1516.9710836438048,4.326982248520709,2021-06-05,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,893.9733736626857,1332.4750700150869,4.326982248520709,2021-06-06,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,791.6998222785941,1176.1449425796338,4.326982248520709,2021-06-07,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,701.1267646455135,1040.244278877121,4.326982248520709,2021-06-08,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,620.9059076253957,920.7923287051018,4.326982248520709,2021-06-09,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,549.8525573402818,815.3132653515182,4.326982248520709,2021-06-10,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,486.92016548278536,721.9972185715468,4.326982248520709,2021-06-11,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,431.182245079867,639.3801194450176,4.326982248520709,2021-06-12,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,381.81794651151586,566.215058423422,4.326982248520709,2021-06-13,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,338.0998340916292,501.4150601109983,4.326982248520709,2021-06-14,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,299.3832369869145,444.02312758834137,4.326982248520709,2021-06-15,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,265.09686274754864,393.19326403436315,4.326982248520709,2021-06-16,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,234.7344852083997,348.17639658695145,4.326982248520709,2021-06-17,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,207.8475712887405,308.3088831306593,4.326982248520709,2021-06-18,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,184.0387374068293,273.0026677487968,4.326982248520709,2021-06-19,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,162.9559420488687,241.73666711127566,4.326982248520709,2021-06-20,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,144.2873324719537,214.04916687989362,4.326982248520709,2021-06-21,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,127.75667281035358,189.531086283242,4.326982248520709,2021-06-22,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,113.11928885292907,167.82000429829642,4.326982248520709,2021-06-23,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,100.15847182187166,148.59485952879237,4.326982248520709,2021-06-24,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,88.68228977896659,131.57124788453896,4.326982248520709,2021-06-25,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,78.52076091510864,116.49725124286456,4.326982248520709,2021-06-26,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,69.52334801424401,103.14973780934677,4.326982248520709,2021-06-27,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,61.55673788422778,91.33108143967164,4.326982248520709,2021-06-28,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,54.502873567297904,80.86625297637795,4.326982248520709,2021-06-29,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,48.25721073002347,71.60024181596286,4.326982248520709,2021-06-30,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,42.72717283047679,63.39577053147789,4.326982248520709,2021-07-01,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,37.83078250898416,56.13126949290896,4.326982248520709,2021-07-02,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,33.49544918444955,49.699082102814806,4.326982248520709,2021-07-03,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,29.65689509389569,44.00387454276505,4.326982248520709,2021-07-04,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,26.258204018326925,38.961226847636354,4.326982248520709,2021-07-05,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,23.248978720159126,34.49638472661653,4.326982248520709,2021-07-06,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,20.58459470048764,30.543153865254265,4.326982248520709,2021-07-07,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,18.225539290068195,27.04292050233875,4.326982248520709,2021-07-08,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,16.13682633555142,23.943783906134076,4.326982248520709,2021-07-09,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,14.287477849655428,21.199788001163487,4.326982248520709,2021-07-10,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,12.650064976148752,18.77024084148536,4.326982248520709,2021-07-11,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,11.200301491660671,16.619111909104458,4.326982248520709,2021-07-12,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,9.916683838827012,14.714498354628446,4.326982248520709,2021-07-13,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,8.780172370173178,13.028152307440665,4.326982248520709,2021-07-14,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,7.773909089264577,11.535062278754433,4.326982248520709,2021-07-15,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,6.882967713777338,10.21308247564385,4.326982248520709,2021-07-16,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,6.1182396266412695,9.046048443784684,3.9100197238658767,2021-07-17,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,5.4516678894082045,8.017706002821749,3.9100197238658767,2021-07-18,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,4.865640249628819,7.112754396817199,3.9100197238658767,2021-07-19,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,4.3477181495296096,6.317187869774712,3.9100197238658767,2021-07-20,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,3.888381202247546,5.618360560071053,3.9100197238658767,2021-07-21,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,3.479974711190683,5.0049413632033515,3.9100197238658767,2021-07-22,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,3.1161590692007115,4.466825842549548,3.9100197238658767,2021-07-23,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,2.7915847030830765,3.9915894248983785,3.9100197238658767,2021-07-24,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,2.5016792837903266,3.5701624812386816,3.9100197238658767,2021-07-25,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,2.242497632663229,3.195427821672169,3.9100197238658767,2021-07-26,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,2.010610470596185,2.8615552961102515,3.9100197238658767,2021-07-27,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,0,1.8030191942429399,2.5636464378238792,3.9100197238658767,2021-07-28,Uruguay,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2621.272731813496,1747.2240540506516,4.326982248520709,2021-05-29,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,2185.445469063713,1747.2240540506516,4.326982248520709,2021-05-30,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,1886.010714326766,1747.2240540506516,4.326982248520709,2021-05-31,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,1652.4314105631042,1747.2240540506516,4.326982248520709,2021-06-01,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,1457.0695588295291,1747.2240540506516,4.326982248520709,2021-06-02,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,1288.206000815368,1747.2240540506516,4.326982248520709,2021-06-03,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,1140.1324929425862,1747.2240540506516,4.326982248520709,2021-06-04,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,1021.4414662527188,1518.6767303991126,3.3158382642998014,2021-06-05,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,921.0337202488513,1338.0464805684176,3.3158382642998014,2021-06-06,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,833.6705927590608,1187.7121774873171,3.3158382642998014,2021-06-07,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,756.4936017436951,1059.721061941687,3.3158382642998014,2021-06-08,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,687.6971045631416,949.810711332203,3.3158382642998014,2021-06-09,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,626.0040060830013,855.2104263704363,3.3158382642998014,2021-06-10,Uruguay,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,570.442516856569,773.826144072434,3.3158382642998014,2021-06-11,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,535.6588872636706,704.4286327882842,1.6268589743589734,2021-06-12,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,512.0071812623041,645.9962700759204,1.6268589743589734,2021-06-13,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,494.9151214871172,597.6026313227857,1.6268589743589734,2021-06-14,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,482.17398203787735,558.4141142219545,1.6268589743589734,2021-06-15,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,472.55461337198824,527.6794726232182,1.6268589743589734,2021-06-16,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,465.2760368004654,504.7183341542846,1.6268589743589734,2021-06-17,Uruguay,,Plan 5
3,0,2,3,2,0,0,4,2,3,2,0,459.79363979543433,488.9113517169796,1.6268589743589734,2021-06-18,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,457.380711687284,477.7287552060672,1.4022534516765282,2021-06-19,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,457.5712429606945,469.9521925915515,1.4022534516765282,2021-06-20,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,459.60513238760933,464.907908434479,1.4022534516765282,2021-06-21,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,463.05114591153216,462.17607470214386,1.4022534516765282,2021-06-22,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,467.62696222051835,461.47212453764814,1.4022534516765282,2021-06-23,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,473.1294616660061,462.59404237558266,1.4022534516765282,2021-06-24,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,479.4046902761567,465.39562101568583,1.4022534516765282,2021-06-25,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,486.3328049239355,469.53163433520746,1.4022534516765282,2021-06-26,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,493.8192511108844,474.70992121380607,1.4022534516765282,2021-06-27,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,501.7888681031815,480.73616917317355,1.4022534516765282,2021-06-28,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,510.1816780144932,487.46910233073936,1.4022534516765282,2021-06-29,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,518.9497108337895,494.8009235612067,1.4022534516765282,2021-06-30,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,528.0545611631662,502.64736634651535,1.4022534516765282,2021-07-01,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,537.465476885208,510.9417644335226,1.4022534516765282,2021-07-02,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,547.1578515028339,519.6310568019368,1.4022534516765282,2021-07-03,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,557.1120266421053,528.6728818778254,1.4022534516765282,2021-07-04,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,567.31233443844,538.0333770685767,1.4022534516765282,2021-07-05,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,577.7463297771411,547.6854701775263,1.4022534516765282,2021-07-06,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,588.4041735965529,557.6075362864925,1.4022534516765282,2021-07-07,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,599.2781326405952,567.7823322118395,1.4022534516765282,2021-07-08,Uruguay,,Plan 5
3,0,2,1,2,0,0,4,2,3,2,0,610.3621745653079,578.1961461661396,1.4022534516765282,2021-07-09,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,624.0442987911932,589.1799243501907,1.2036587771203149,2021-07-10,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,640.4033106545537,601.078679209112,1.2036587771203149,2021-07-11,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,658.7931977586966,614.1473739691486,1.2036587771203149,2021-07-12,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,678.910647588514,628.5994193707735,1.2036587771203149,2021-07-13,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,700.5862629974348,644.6254321423279,1.2036587771203149,2021-07-14,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,723.7116167208908,662.4016441537988,1.2036587771203149,2021-07-15,Uruguay,,Plan 5
3,0,2,0,0,0,0,4,2,3,2,0,748.2119669193485,682.0944716329474,1.2036587771203149,2021-07-16,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,782.2470434262411,704.6948637236685,0.8389316239316235,2021-07-17,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,826.6492009225453,731.3014194762387,0.8389316239316235,2021-07-18,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,879.7116750130513,762.8612019411465,0.8389316239316235,2021-07-19,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,940.9669021516188,800.2978097358757,0.8389316239316235,2021-07-20,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1010.4312487300624,844.5613791262513,0.8389316239316235,2021-07-21,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1088.347453812883,896.6522129965358,0.8389316239316235,2021-07-22,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1175.0936789669665,957.635314717624,0.8389316239316235,2021-07-23,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1271.1494408022306,1027.4785143427657,0.8389316239316235,2021-07-24,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1377.0815758131391,1106.1117107557072,0.8389316239316235,2021-07-25,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1493.538001082656,1193.801185908508,0.8389316239316235,2021-07-26,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1621.2449760527,1290.9837678943766,0.8389316239316235,2021-07-27,Uruguay,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,1761.0061037582145,1398.2087471841128,0.8389316239316235,2021-07-28,Uruguay,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,2621.272731813496,1747.2240540506516,4.326982248520709,2021-05-29,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,2185.445469063713,1747.2240540506516,4.326982248520709,2021-05-30,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,1886.010714326766,1747.2240540506516,4.326982248520709,2021-05-31,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,1652.4314105631042,1747.2240540506516,4.326982248520709,2021-06-01,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,1457.0695588295291,1747.2240540506516,4.326982248520709,2021-06-02,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,1288.206000815368,1747.2240540506516,4.326982248520709,2021-06-03,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,1140.1324929425862,1747.2240540506516,4.326982248520709,2021-06-04,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,1009.5019389655699,1516.9710836438048,4.326982248520709,2021-06-05,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,893.9733736626857,1332.4750700150869,4.326982248520709,2021-06-06,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,791.6998222785941,1176.1449425796338,4.326982248520709,2021-06-07,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,701.1267646455135,1040.244278877121,4.326982248520709,2021-06-08,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,620.9059076253957,920.7923287051018,4.326982248520709,2021-06-09,Uruguay,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,549.8525573402818,815.3132653515182,4.326982248520709,2021-06-10,Uruguay,,Plan 8
