x,Full,Full stdev,Condensed,Condensed stdev
1.0,0.0,0.0,0.3785,0.10585296405864128
2.0,0.0,0.0,0.4721000000000001,0.055884613266980736
3.0,0.0,0.0,0.4748,0.05541443855169878
4.0,0.0,0.0,0.4875999999999999,0.0404677649494014
5.0,0.0,0.0,0.4882,0.040563037361617794
6.0,0.0,0.0,0.5055,0.02220022522408276
7.0,0.0,0.0,0.5057,0.02221283412804409
8.0,0.0,0.0,0.5126,0.01972409693750263
9.0,0.0,0.0,0.5126999999999999,0.01980429246400893
10.0,0.0,0.0,0.5180999999999999,0.01767738668468845
11.0,0.0,0.0,0.5181999999999999,0.017611359970201062
12.0,0.0,0.0,0.5183,0.01770338950596751
110.0,0.0,0.0,0.5192,0.018203296404772414
111.0,0.0,0.0,0.524,0.013892443989449818
112.0,0.0,0.0,0.5241,0.01382353066332912
113.0,0.0,0.0,0.5250999999999999,0.013486660075793423
115.0,0.0,0.0,0.5251999999999999,0.013466996695625951
119.0,0.0,0.0,0.5287,0.012814444974324884
210.0,0.0,0.0,0.5292,0.013105723940324714
213.0,0.0,0.0,0.5293000000000001,0.01320643782403114
215.0,0.0,0.0,0.5321000000000001,0.011648605066702204
218.0,0.0,0.0,0.5335000000000001,0.011715374513859992
219.0,0.0,0.0,0.5343000000000001,0.010574024777727741
307.0,0.0,0.0,0.5363000000000001,0.0065276335681470395
311.0,0.0,0.0,0.5364000000000001,0.006406246951218793
314.0,0.0,0.0,0.5365,0.0064845971347493965
325.0,0.0,0.0,0.5368,0.006384355879804953
326.0,0.0,0.0,0.5370000000000001,0.006542170893518456
417.0,0.0,0.0,0.539,0.006841052550594835
421.0,0.0,0.0,0.5401,0.007300000000000006
429.0,0.0,0.0,0.5402000000000001,0.0072498275841567485
436.0,0.0,0.0,0.5408000000000001,0.00769155380921177
630.0,0.0,0.0,0.5421,0.005048762224545739
634.0,0.0,0.0,0.5429,0.004784349485562279
640.0,0.0,0.0,0.5429999999999999,0.00489897948556636
733.0,0.0,0.0,0.5442,0.004489988864128732
735.0,0.0,0.0,0.5457,0.003579106033634659
901.0,0.0259,0.0777,0.5457,0.003579106033634659
942.0,0.0259,0.0777,0.5469,0.004109744517606907
1001.0,0.0459,0.09274313990802772,0.5469,0.004109744517606907
1101.0,0.1046,0.10617363137804038,0.5469,0.004109744517606907
1102.0,0.1106,0.11258792119938976,0.5469,0.004109744517606907
1201.0,0.1187,0.12150477356877795,0.5469,0.004109744517606907
1202.0,0.1226,0.1271441701376827,0.5469,0.004109744517606907
1203.0,0.1229,0.12755896675655534,0.5469,0.004109744517606907
1204.0,0.12810000000000002,0.13367007892568927,0.5469,0.004109744517606907
1262.0,0.12810000000000002,0.13367007892568927,0.5472,0.003994996871087639
1302.0,0.12830000000000005,0.13387311156464546,0.5472,0.003994996871087639
1303.0,0.1288,0.13441785595671432,0.5472,0.003994996871087639
1345.0,0.1288,0.13441785595671432,0.5475000000000001,0.004566180022732354
1401.0,0.15519999999999998,0.1317101362841904,0.5475000000000001,0.004566180022732354
1402.0,0.1602,0.1338363179409834,0.5475000000000001,0.004566180022732354
1403.0,0.1604,0.13406804242622475,0.5475000000000001,0.004566180022732354
1404.0,0.16060000000000002,0.13423129292381866,0.5475000000000001,0.004566180022732354
1447.0,0.16060000000000002,0.13423129292381866,0.5479999999999999,0.004427188724235735
1501.0,0.1829,0.12381797123196618,0.5479999999999999,0.004427188724235735
1502.0,0.1878,0.12635093984612855,0.5479999999999999,0.004427188724235735
1503.0,0.1887,0.12695987555129376,0.5479999999999999,0.004427188724235735
1504.0,0.19080000000000005,0.12926468968747806,0.5479999999999999,0.004427188724235735
1505.0,0.1916,0.1295354777657457,0.5479999999999999,0.004427188724235735
1506.0,0.1917,0.1295986496843235,0.5479999999999999,0.004427188724235735
1601.0,0.1918,0.1296416599708597,0.5479999999999999,0.004427188724235735
1602.0,0.1941,0.1306732183731617,0.5479999999999999,0.004427188724235735
1603.0,0.1988,0.1340147753048148,0.5479999999999999,0.004427188724235735
1604.0,0.1989,0.1340473423832043,0.5479999999999999,0.004427188724235735
1605.0,0.2001,0.13448973938557546,0.5479999999999999,0.004427188724235735
1606.0,0.2002,0.1345487272329248,0.5479999999999999,0.004427188724235735
1607.0,0.20260000000000009,0.1368518907432411,0.5479999999999999,0.004427188724235735
1608.0,0.2044,0.13853172921753346,0.5479999999999999,0.004427188724235735
1657.0,0.2044,0.13853172921753346,0.5488000000000001,0.0033105890714493725
1701.0,0.2245,0.1208728670959699,0.5488000000000001,0.0033105890714493725
1702.0,0.2328000000000001,0.12384732536474093,0.5488000000000001,0.0033105890714493725
1703.0,0.2384,0.1269977952564532,0.5488000000000001,0.0033105890714493725
1704.0,0.2386,0.12709224996041266,0.5488000000000001,0.0033105890714493725
1705.0,0.2397,0.12795159240900444,0.5488000000000001,0.0033105890714493725
1706.0,0.24,0.12801874862691012,0.5488000000000001,0.0033105890714493725
1707.0,0.2401000000000001,0.12810499599937544,0.5488000000000001,0.0033105890714493725
1709.0,0.24100000000000002,0.12893796958227627,0.5488000000000001,0.0033105890714493725
1759.0,0.24100000000000002,0.12893796958227627,0.5489,0.003330165161069345
1801.0,0.242,0.12889996121023467,0.5489,0.003330165161069345
1803.0,0.2421,0.12895615533971228,0.5489,0.003330165161069345
1804.0,0.2423,0.12914646723778395,0.5489,0.003330165161069345
1805.0,0.2424,0.12916206873536826,0.5489,0.003330165161069345
1807.0,0.2453,0.12996311015053466,0.5489,0.003330165161069345
1808.0,0.2458,0.1303608837036632,0.5489,0.003330165161069345
1851.0,0.2458,0.1303608837036632,0.5489999999999999,0.003346640106136305
1901.0,0.2717,0.0901421654942902,0.5489999999999999,0.003346640106136305
1902.0,0.2828,0.07981328210266757,0.5489999999999999,0.003346640106136305
1903.0,0.2866,0.07696778546898696,0.5489999999999999,0.003346640106136305
1904.0,0.2868,0.07706724336577765,0.5489999999999999,0.003346640106136305
1905.0,0.2885,0.07687034538754199,0.5489999999999999,0.003346640106136305
1906.0,0.28989999999999994,0.0778273088317976,0.5489999999999999,0.003346640106136305
1907.0,0.29029999999999995,0.07822665786034834,0.5489999999999999,0.003346640106136305
1909.0,0.2907,0.07846406820959513,0.5489999999999999,0.003346640106136305
1913.0,0.29079999999999995,0.07855927698241627,0.5489999999999999,0.003346640106136305
2002.0,0.2909,0.07855628555373527,0.5489999999999999,0.003346640106136305
2003.0,0.29100000000000004,0.07855062062135472,0.5489999999999999,0.003346640106136305
2004.0,0.29389999999999994,0.07895752022448528,0.5489999999999999,0.003346640106136305
2007.0,0.2963,0.07944312430915591,0.5489999999999999,0.003346640106136305
2008.0,0.29660000000000003,0.07960929593960746,0.5489999999999999,0.003346640106136305
2009.0,0.29690000000000005,0.07990175217102563,0.5489999999999999,0.003346640106136305
2010.0,0.2975,0.08034581507458867,0.5489999999999999,0.003346640106136305
2016.0,0.2976,0.08043655885230297,0.5489999999999999,0.003346640106136305
2101.0,0.3083,0.053942654736303074,0.5489999999999999,0.003346640106136305
2102.0,0.3102,0.05205151294631117,0.5489999999999999,0.003346640106136305
2103.0,0.31249999999999994,0.05141643706053542,0.5489999999999999,0.003346640106136305
2105.0,0.3137,0.05153843226175977,0.5489999999999999,0.003346640106136305
2106.0,0.31509999999999994,0.0521448942850592,0.5489999999999999,0.003346640106136305
2108.0,0.31909999999999994,0.053755836892378485,0.5489999999999999,0.003346640106136305
2110.0,0.31919999999999993,0.05380111523007678,0.5489999999999999,0.003346640106136305
2113.0,0.3207999999999999,0.055671895961966304,0.5489999999999999,0.003346640106136305
2173.0,0.3207999999999999,0.055671895961966304,0.5495,0.0035284557528754727
2202.0,0.3223,0.05735337827887736,0.5495,0.0035284557528754727
2203.0,0.3244,0.05760416651597348,0.5495,0.0035284557528754727
2205.0,0.3267,0.05786890356659611,0.5495,0.0035284557528754727
2206.0,0.3272,0.05812022023358136,0.5495,0.0035284557528754727
2207.0,0.32730000000000004,0.05814989251924719,0.5495,0.0035284557528754727
2211.0,0.3274,0.05824122251464164,0.5495,0.0035284557528754727
2213.0,0.3284,0.058602389029799785,0.5495,0.0035284557528754727
2270.0,0.3284,0.058602389029799785,0.5497,0.003551056180912944
2302.0,0.3316,0.060574251955760876,0.5497,0.003551056180912944
2303.0,0.3317,0.06033746762998925,0.5497,0.003551056180912944
2304.0,0.3319000000000001,0.0603397878683709,0.5497,0.003551056180912944
2306.0,0.3350000000000001,0.06148658390250674,0.5497,0.003551056180912944
2307.0,0.33530000000000004,0.061512681619321385,0.5497,0.003551056180912944
2308.0,0.336,0.0617608290099801,0.5497,0.003551056180912944
2312.0,0.33670000000000005,0.062079062492921076,0.5497,0.003551056180912944
2383.0,0.33670000000000005,0.062079062492921076,0.5498000000000001,0.003572114219898354
2402.0,0.3448,0.045294149732608965,0.5498000000000001,0.003572114219898354
2405.0,0.345,0.045356366697521085,0.5498000000000001,0.003572114219898354
2407.0,0.3519,0.042070060613219946,0.5498000000000001,0.003572114219898354
2408.0,0.3567,0.04444108459522562,0.5498000000000001,0.003572114219898354
2410.0,0.35810000000000003,0.0461593977430382,0.5498000000000001,0.003572114219898354
2503.0,0.3582,0.046064737055582984,0.5498000000000001,0.003572114219898354
2505.0,0.35839999999999994,0.04592864030210343,0.5498000000000001,0.003572114219898354
2506.0,0.3597,0.04478627021755662,0.5498000000000001,0.003572114219898354
2508.0,0.36,0.04478169268797239,0.5498000000000001,0.003572114219898354
2509.0,0.3602,0.044774546340526994,0.5498000000000001,0.003572114219898354
2510.0,0.3612,0.045512196167620825,0.5498000000000001,0.003572114219898354
2511.0,0.3622,0.04638922288635583,0.5498000000000001,0.003572114219898354
2604.0,0.3625,0.045980974326345014,0.5498000000000001,0.003572114219898354
2607.0,0.3633000000000001,0.045989237871484664,0.5498000000000001,0.003572114219898354
2609.0,0.3669,0.04465971338913853,0.5498000000000001,0.003572114219898354
